"","date","V_00","NO_00","NO_01","NO2_00","NO2_01","RH_01","T_01","timestamp","delta_time","delta_RH_01","dRH_01_T0_060","dRH_01_T0_090","dRH_01_T0_120","dRH_01_T0_150"
"1",2019-12-12 14:00:00,6.201171875,20.306396484375,5.0537109375,13.2476806640625,-0.457763671875,53.8175048828125,8.18557049560547,1576159200,NA,NA,0,0,0,0
"2",2019-12-12 14:10:00,6.201171875,20.7366943359375,5.804443359375,13.8153076171875,0.146484375,53.9092483520508,8.15232269287109,1576159800,600,0.0917434692382812,0.000152905782063802,0.000152905782063802,0.000152905782063802,0.000152905782063802
"3",2019-12-12 14:20:00,6.201171875,20.2423095703125,4.2755126953125,12.5701904296875,-0.9063720703125,51.7592849731445,8.11371234130859,1576160400,600,-2.14996337890625,-0.00345384034802997,-0.00344644619261814,-0.00344259218742475,-0.00344022787100467
"4",2019-12-12 14:30:00,6.201171875,20.5902099609375,4.6051025390625,13.165283203125,-0.640869140625,51.3953628540039,7.90296417236328,1576161000,600,-0.363922119140625,-0.00353014960053158,-0.00369055242167428,-0.00377387457912106,-0.0038248940686597
"5",2019-12-12 14:40:00,6.201171875,21.221923828125,5.9600830078125,13.7237548828125,-0.0091552734375,54.5627059936523,7.50533117675781,1576161600,600,3.16734313964844,0.00229069810976751,0.00197645382506876,0.00180677300471547,0.00170069011451024
"6",2019-12-12 14:50:00,6.201171875,21.185302734375,6.92138671875,14.501953125,0.439453125,56.4755859375,7.1446997680664,1576162200,600,1.91287994384766,0.00512716732690577,0.00495674183028577,0.0048504446512376,0.00477914072124465
"7",2019-12-12 15:00:00,6.201171875,22.7874755859375,8.953857421875,14.9139404296875,1.226806640625,57.1586074829102,6.80659106445312,1576162800,600,0.683021545410156,0.00547842268503225,0.00557385671538839,0.0056009937521901,0.00560928876952367
"8",2019-12-12 15:10:00,6.201171875,23.5382080078125,8.7158203125,14.9322509765625,1.263427734375,57.2904052734375,6.58055963134765,1576163400,600,0.131797790527344,0.00485704766831821,0.00520736911943158,0.00537282600228847,0.00546719180916104
"9",2019-12-12 15:20:00,6.20452880859375,20.6451416015625,4.998779296875,13.7786865234375,-0.146484375,56.2846603393555,6.05315295410156,1576164000,600,-1.00574493408203,0.00243516053135055,0.00298351706842901,0.00326699699737732,0.00343835456917442
"10",2019-12-12 15:30:00,6.207275390625,23.8677978515625,9.0087890625,15.3350830078125,1.4739990234375,57.5488510131836,5.47694708251953,1576164600,600,1.26419067382812,0.00416830334334336,0.00477675283159724,0.00511276679642798,0.00532358917285825
"11",2019-12-12 15:40:00,6.20391845703125,27.5115966796875,12.6617431640625,17.156982421875,3.5430908203125,58.892578125,4.94256909179687,1576165200,600,1.34372711181641,0.00576793779030128,0.00651397142677825,0.0069435177207165,0.00721980004300827
